SEQ='P '     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  87181251.1    NPRNT= 6
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P2             (3)1( 0.0)        0.0 
     2          3S2 3P2             (3)1( 1.0)      299.1 
     3          3S2 3P2             (3)1( 2.0)      855.7 
     4          3S2 3P2             (1)2( 2.0)    14486.5 
     5          3S2 3P2             (1)0( 0.0)    43550.0 
     6          3S1 3P3             (5)0( 2.0)    52344.0 

   PARENT CONFG INDEXING                BWNP=  87173173.9    NPRNT= 2
   ---------------------
   INDP         CODE                       WI        WNP
   ----         ----                 --------  ----------
     1          3S2 3P2             (     7.0)        0.0 
     2          3S1 3P3             (    19.5)    96766.0 

   IC AVERAGED CONFG INDEXING           BWNR=  87248893.3   NCFG=   6
   --------------------------
   INDX  INDP   CODE                       WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 --------  ----------      -----------
     1     1    3S2 3P2 4S1         (    14.5)        0.0      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     2     1    3S2 3P2 4P1         (    44.5)    18975.7      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     3     1    3S2 3P2 4D1         (    69.5)    39950.6      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     4     2    3S1 3P3 4S1         (     4.5)    43872.4      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     5     1    3S2 3P2 4F1         (    97.5)    45619.5      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     6     2    3S1 3P3 4P1         (    14.5)    61600.2      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00

   NL-SHELL INDEXING & AUGER RATES                     NLREP=203
   -------------------------------
   ILREP   N   L
     1   390   2     .067      67639.3  .933      76293.5
     1   480   2     .067      67640.3  .933      76294.4
     1   580   2     .067      67640.9  .933      76295.0
     1   700   2     .067      67641.3  .933      76295.5
     1   850   2     .067      67641.6  .933      76295.7
     1   999   2     .067      67641.7  .933      76295.9
     1     5   3     .933      55130.0  .067      93136.3
     1     6   3     .600      55593.6  .400      74348.7
     1     7   3     .600      58978.6  .400      77733.7
     1     8   3     .600      61172.0  .400      79927.0
     1     9   3     .600      62668.6  .400      81423.7
     1    10   3     .600      63734.4  .400      82489.5
     1    11   3     .600      64520.1  .400      83275.3
     1    12   3     .600      65115.9  .400      83871.1
     1    13   3     .600      65578.5  .400      84333.7
     1    14   3     .600      65944.7  .400      84699.9
     1    15   3     .600      66239.6  .400      84994.9
     1    16   3     .600      66480.7  .400      85235.9
     1    17   3     .600      66680.6  .400      85435.9
     1    18   3     .600      66847.5  .400      85602.8
     1    19   3     .600      66988.6  .400      85743.9
     1    20   3     .600      67109.0  .400      85864.3
     1    21   3     .600      67212.5  .400      85967.8
     1    22   3     .600      67302.1  .400      86057.5
     1    23   3     .267      67029.5  .733      77738.0
     1    24   3     .267      67098.1  .733      77806.6
     1    25   3     .267      67158.6  .733      77867.1
     1    32   3     .267      67435.1  .733      78143.7
     1    39   3     .067      67352.1  .933      76006.3
     1    47   3     .067      67442.6  .933      76096.8
     1    57   3     .067      67506.6  .933      76160.8
     1    70   3     .067      67552.3  .933      76206.5
     1    85   3     .067      67581.3  .933      76235.5
     1   100   3     .067      67598.2  .933      76252.4
     1   125   3     .067      67614.0  .933      76268.2
     1   150   3     .067      67622.6  .933      76276.8
     1   180   3     .067      67628.6  .933      76282.8
     1   220   3     .067      67633.1  .933      76287.3
     1   270   3     .067      67636.2  .933      76290.3
     1   330   3     .067      67638.1  .933      76292.3
     1   390   3     .067      67639.3  .933      76293.5
     1   480   3     .067      67640.3  .933      76294.4
