SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63529903.3   NPRNTI= 5   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      276.8 
     3          3S1 3P2             (4)1( 0.5)    35412.3 
     4          3S1 3P2             (4)1( 1.5)    35509.5 
     5          3S1 3P2             (4)1( 2.5)    35669.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63523229.5   NLVL= 298
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   195     2    3S2 3P1 8D1         (1)3( 3.0)    26098.6*     0.00E+00
   196     2    3S2 3P1 8D1         (1)1( 1.0)    26123.0*     0.00E+00
   197     2    3S2 3P1 4D1         (3)2( 1.0)    26216.3*     0.00E+00
   198     2    3S2 3P1 7F1         (1)3( 3.0)    26217.0*     0.00E+00
   199     2    3S2 3P1 7F1         (3)3( 4.0)    26218.9*     0.00E+00
   200     2    3S2 3P1 7F1         (3)3( 3.0)    26223.8*     0.00E+00
   201     2    3S2 3P1 7F1         (3)3( 2.0)    26225.4*     0.00E+00
   202     2    3S2 3P1 7F1         (3)4( 5.0)    26227.2*     0.00E+00
   203     2    3S2 3P1 7G1         (1)4( 4.0)    26230.4*     0.00E+00
   204     2    3S2 3P1 7G1         (3)4( 5.0)    26230.4*     0.00E+00
   205     2    3S2 3P1 7F1         (1)4( 4.0)    26231.7*     0.00E+00
   206     2    3S2 3P1 7H1         (1)5( 5.0)    26233.0*     0.00E+00
   207     2    3S2 3P1 7H1         (3)5( 6.0)    26233.0*     0.00E+00
   208     2    3S2 3P1 7G1         (3)4( 4.0)    26234.6*     0.00E+00
   209     2    3S2 3P1 7I1         (1)6( 6.0)    26234.6*     0.00E+00
   210     2    3S2 3P1 7I1         (3)6( 7.0)    26234.6*     0.00E+00
   211     2    3S2 3P1 7H1         (3)5( 4.0)    26234.9*     0.00E+00
   212     2    3S2 3P1 7H1         (3)5( 5.0)    26234.9*     0.00E+00
   213     2    3S2 3P1 7F1         (3)2( 1.0)    26235.0*     0.00E+00
   214     2    3S2 3P1 7G1         (3)4( 3.0)    26235.0*     0.00E+00
   215     2    3S2 3P1 7I1         (3)6( 5.0)    26235.5*     0.00E+00
   216     2    3S2 3P1 7I1         (3)6( 6.0)    26235.5*     0.00E+00
   217     2    3S2 3P1 7F1         (3)2( 2.0)    26236.9*     0.00E+00
   218     2    3S2 3P1 7I1         (1)7( 7.0)    26238.5*     0.00E+00
   219     2    3S2 3P1 7I1         (3)7( 8.0)    26238.5*     0.00E+00
   220     2    3S2 3P1 7I1         (3)5( 4.0)    26239.5*     0.00E+00
   221     2    3S2 3P1 7I1         (3)5( 5.0)    26239.5*     0.00E+00
   222     2    3S2 3P1 7H1         (1)6( 6.0)    26239.5*     0.00E+00
   223     2    3S2 3P1 7H1         (3)6( 7.0)    26239.5*     0.00E+00
   224     2    3S2 3P1 7H1         (3)4( 3.0)    26241.4*     0.00E+00
   225     2    3S2 3P1 7H1         (3)4( 4.0)    26241.4*     0.00E+00
   226     2    3S2 3P1 7G1         (3)5( 6.0)    26244.1*     0.00E+00
   227     2    3S2 3P1 7G1         (1)5( 5.0)    26244.2*     0.00E+00
