   14   38        -97.492      4.319e-04      7.274e+07                2p3 2P0.5 -        2s.2p(1P).3p 2D1.5
   14   39         93.938      2.117e-07      4.103e+04                2p3 2P0.5 -          2p2(3P).3s 4P1.5
   14   40        -91.475      1.734e-02      3.325e+09                2p3 2P0.5 -          2p2(3P).3s 2P1.5
   14   41         89.757      3.940e-02      8.304e+09                2p3 2P0.5 -          2p2(1D).3s 2D1.5
   14   42        -86.327      2.363e-06      5.100e+05                2p3 2P0.5 -          2p2(3P).3d 4F1.5
   14   43        -85.526      5.759e-02      1.267e+10                2p3 2P0.5 -          2p2(3P).3d 2P1.5
   14   44        -85.390      1.452e-02      3.203e+09                2p3 2P0.5 -          2p2(3P).3d 4D1.5
   14   45         83.890      5.364e-05      1.303e+07                2p3 2P0.5 -          2p2(3P).3d 4P1.5
   14   46        -82.535      4.940e-01      1.168e+11                2p3 2P0.5 -          2p2(3P).3d 2D1.5
   14   47        -81.384      6.664e-01      1.622e+11                2p3 2P0.5 -          2p2(1D).3d 2D1.5
   14   48         81.293      1.391e-01      3.530e+10                2p3 2P0.5 -          2p2(1D).3d 2P1.5
   14   49        -75.519      7.965e-01      2.256e+11                2p3 2P0.5 -          2p2(1S).3d 2D1.5
    2   16         82.824      8.420e-02      4.133e+10             2s2.2p 2P1.5 -              2s2.3s 2S0.5
    2   17         71.171      4.162e-02      2.760e+10             2s2.2p 2P1.5 -        2s.2p(3P).3p 2P0.5
    2   18        -71.557      1.662e-02      1.083e+10             2s2.2p 2P1.5 -        2s.2p(3P).3p 4D0.5
    2   19        -70.552      6.301e-05      4.222e+07             2s2.2p 2P1.5 -        2s.2p(3P).3p 4P0.5
    2   20         68.606      1.773e-01      1.264e+11             2s2.2p 2P1.5 -        2s.2p(3P).3p 2S0.5
    2   21         64.654      2.943e-02      2.349e+10             2s2.2p 2P1.5 -        2s.2p(1P).3p 2P0.5
    2   22         64.380      1.424e-02      1.139e+10             2s2.2p 2P1.5 -        2s.2p(1P).3p 2S0.5
    2   23         63.105      2.847e-06      2.394e+06             2s2.2p 2P1.5 -          2p2(3P).3s 4P0.5
    2   24        -62.015      8.440e-03      7.319e+09             2s2.2p 2P1.5 -          2p2(3P).3s 2P0.5
    2   25        -59.126      6.044e-04      5.766e+08             2s2.2p 2P1.5 -          2p2(3P).3d 4D0.5
    2   26        -59.050      1.535e-03      1.468e+09             2s2.2p 2P1.5 -          2p2(3P).3d 2P0.5
    2   27         58.348      1.356e-05      1.335e+07             2s2.2p 2P1.5 -          2p2(3P).3d 4P0.5
    2   28        -57.877      4.191e-03      4.173e+09             2s2.2p 2P1.5 -          2p2(1S).3s 2S0.5
    2   29         57.132      3.907e-03      3.959e+09             2s2.2p 2P1.5 -          2p2(1D).3d 2P0.5
    2   30        -56.258      6.219e-03      6.554e+09             2s2.2p 2P1.5 -          2p2(1D).3d 2S0.5
   11   16        125.472      3.423e-08      7.369e+03                2p3 4S1.5 -              2s2.3s 2S0.5
   11   17        100.536      1.177e-08      3.929e+03                2p3 4S1.5 -        2s.2p(3P).3p 2P0.5
   11   18       -101.299      3.435e-07      1.114e+05                2p3 4S1.5 -        2s.2p(3P).3p 4D0.5
   11   19        -99.296      1.055e-03      3.563e+08                2p3 4S1.5 -        2s.2p(3P).3p 4P0.5
   11   20         95.492      1.125e-06      4.153e+05                2p3 4S1.5 -        2s.2p(3P).3p 2S0.5
   11   21         88.006      9.081e-06      3.917e+06                2p3 4S1.5 -        2s.2p(1P).3p 2P0.5
   11   22         87.498      4.428e-05      1.915e+07                2p3 4S1.5 -        2s.2p(1P).3p 2S0.5
   11   23         85.159      7.549e-02      3.493e+10                2p3 4S1.5 -          2p2(3P).3s 4P0.5
   11   24        -83.181      7.341e-06      3.533e+06                2p3 4S1.5 -          2p2(3P).3s 2P0.5
   11   25        -78.064      1.503e-03      8.213e+08                2p3 4S1.5 -          2p2(3P).3d 4D0.5
   11   26        -77.931      1.108e-04      6.074e+07                2p3 4S1.5 -          2p2(3P).3d 2P0.5
   11   27         76.720      9.507e-01      5.426e+11                2p3 4S1.5 -          2p2(3P).3d 4P0.5
   11   28        -75.902      1.712e-04      9.898e+07                2p3 4S1.5 -          2p2(1S).3s 2S0.5
   11   29         74.630      5.732e-05      3.398e+07                2p3 4S1.5 -          2p2(1D).3d 2P0.5
   11   30        -73.141      1.126e-04      7.011e+07                2p3 4S1.5 -          2p2(1D).3d 2S0.5
   12   16        134.255      7.051e-08      1.355e+04                2p3 2D1.5 -              2s2.3s 2S0.5
   12   17        106.098      1.744e-03      5.314e+08                2p3 2D1.5 -        2s.2p(3P).3p 2P0.5
   12   18       -106.956      7.477e-04      2.106e+08                2p3 2D1.5 -        2s.2p(3P).3p 4D0.5
   12   19       -104.725      5.643e-07      1.659e+05                2p3 2D1.5 -        2s.2p(3P).3p 4P0.5
