SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108038846.2   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    18303.3 
     3          2S1 2P6             (2)0( 0.5)   622608.3*

   IC RESOLVED LEVEL INDEXING           BWNR= 111415705.7   NLVL= 329
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   151     2    2S2 2P5 6D1         (3)2( 1.0)  3143249.0 
   152     2    2S2 2P5 6F1         (3)4( 3.0)  3147691.5 
   153     2    2S2 2P5 6F1         (3)2( 3.0)  3147726.0 
   154     2    2S2 2P5 6F1         (3)4( 4.0)  3147755.0 
   155     2    2S2 2P5 6F1         (1)2( 2.0)  3147831.6 
   156     2    2S2 2P5 6G1         (3)5( 4.0)  3148214.0 
   157     2    2S2 2P5 6G1         (1)3( 3.0)  3148218.8 
   158     2    2S2 2P5 6G1         (3)3( 4.0)  3148231.0 
   159     2    2S2 2P5 6G1         (3)5( 5.0)  3148231.0 
   160     2    2S2 2P5 6H1         (3)6( 5.0)  3148238.0 
   161     2    2S2 2P5 6H1         (1)4( 4.0)  3148238.4 
   162     2    2S2 2P5 6H1         (3)6( 6.0)  3148248.6 
   163     2    2S2 2P5 6H1         (3)4( 5.0)  3148248.9 
   164     1    2S2 2P5 7S1         (3)1( 2.0)  3170357.5 
   165     1    2S2 2P5 7S1         (1)1( 1.0)  3170785.4 
   166     1    2S2 2P5 7P1         (3)0( 1.0)  3178791.9 
   167     1    2S2 2P5 7P1         (3)2( 3.0)  3179358.8 
   168     1    2S2 2P5 7P1         (3)2( 2.0)  3179460.9 
   169     1    2S2 2P5 7P1         (1)1( 1.0)  3179810.9 
   170     1    2S2 2P5 7P1         (3)1( 2.0)  3179990.5 
   171     1    2S2 2P5 7P1         (1)0( 0.0)  3182830.0 
   172     2    2S2 2P5 7S1         (3)1( 0.0)  3188660.7 
   173     2    2S2 2P5 7S1         (3)1( 1.0)  3188882.5 
   174     1    2S2 2P5 7D1         (3)1( 0.0)  3189936.2 
   175     1    2S2 2P5 7D1         (3)1( 1.0)  3190225.5 
   176     1    2S2 2P5 7D1         (3)3( 4.0)  3190475.6 
   177     1    2S2 2P5 7D1         (3)1( 2.0)  3190638.3 
   178     1    2S2 2P5 7D1         (3)3( 3.0)  3190754.6 
   179     1    2S2 2P5 7D1         (1)2( 2.0)  3191117.5 
   180     1    2S2 2P5 7D1         (3)2( 3.0)  3191291.2 
   181     1    2S2 2P5 7D1         (1)1( 1.0)  3193056.8 
   182     1    2S2 2P5 7F1         (3)2( 1.0)  3194798.2 
   183     1    2S2 2P5 7F1         (3)2( 2.0)  3194895.2 
   184     1    2S2 2P5 7F1         (3)4( 5.0)  3194973.2 
   185     1    2S2 2P5 7F1         (1)4( 4.0)  3194996.6 
   186     1    2S2 2P5 7F1         (3)3( 3.0)  3195146.7 
   187     1    2S2 2P5 7F1         (3)3( 2.0)  3195239.6 
   188     1    2S2 2P5 7F1         (1)3( 3.0)  3195293.0 
   189     1    2S2 2P5 7G1         (3)3( 2.0)  3195309.7 
   190     1    2S2 2P5 7F1         (3)3( 4.0)  3195318.2 
   191     1    2S2 2P5 7G1         (3)3( 3.0)  3195322.8 
   192     1    2S2 2P5 7G1         (1)5( 5.0)  3195368.8 
   193     1    2S2 2P5 7G1         (3)5( 6.0)  3195376.8 
   194     1    2S2 2P5 7H1         (3)4( 3.0)  3195385.2 
   195     1    2S2 2P5 7H1         (3)4( 4.0)  3195391.7 
   196     1    2S2 2P5 7H1         (1)6( 6.0)  3195410.5 
   197     1    2S2 2P5 7I1         (3)5( 4.0)  3195414.7 
   198     1    2S2 2P5 7H1         (3)6( 7.0)  3195417.0 
   199     1    2S2 2P5 7I1         (3)5( 5.0)  3195419.4 
   200     1    2S2 2P5 7I1         (1)7( 7.0)  3195427.5 
   201     1    2S2 2P5 7I1         (3)7( 8.0)  3195432.2 
   202     1    2S2 2P5 7I1         (3)6( 5.0)  3195468.7 
   203     1    2S2 2P5 7I1         (3)6( 6.0)  3195473.1 
   204     1    2S2 2P5 7H1         (3)5( 4.0)  3195474.4 
   205     1    2S2 2P5 7G1         (3)4( 3.0)  3195474.5 
   206     1    2S2 2P5 7H1         (3)5( 5.0)  3195480.5 
   207     1    2S2 2P5 7G1         (3)4( 4.0)  3195481.1 
   208     1    2S2 2P5 7I1         (1)6( 6.0)  3195481.5 
   209     1    2S2 2P5 7I1         (3)6( 7.0)  3195486.0 
   210     1    2S2 2P5 7H1         (1)5( 5.0)  3195499.7 
   211     1    2S2 2P5 7H1         (3)5( 6.0)  3195505.9 
   212     1    2S2 2P5 7G1         (1)4( 4.0)  3195530.0 
   213     1    2S2 2P5 7G1         (3)4( 5.0)  3195539.5 
   214     2    2S2 2P5 7P1         (3)2( 1.0)  3197589.1 
   215     2    2S2 2P5 7P1         (3)1( 1.0)  3197801.8 
   216     2    2S2 2P5 7P1         (1)2( 2.0)  3197965.5 
   217     2    2S2 2P5 7P1         (3)1( 0.0)  3199964.1 
   218     2    2S2 2P5 7D1         (3)3( 2.0)  3208936.4 
   219     2    2S2 2P5 7D1         (3)2( 2.0)  3209001.0 
   220     2    2S2 2P5 7D1         (1)3( 3.0)  3209214.6 
   221     2    2S2 2P5 7D1         (3)2( 1.0)  3210476.2 
   222     2    2S2 2P5 7F1         (3)4( 3.0)  3213373.8 
   223     2    2S2 2P5 7F1         (3)2( 3.0)  3213394.0 
   224     2    2S2 2P5 7F1         (3)4( 4.0)  3213415.8 
   225     2    2S2 2P5 7F1         (1)2( 2.0)  3213468.1 
   226     2    2S2 2P5 7G1         (3)5( 4.0)  3213730.0 
   227     2    2S2 2P5 7G1         (1)3( 3.0)  3213733.4 
   228     2    2S2 2P5 7G1         (3)3( 4.0)  3213740.4 
   229     2    2S2 2P5 7G1         (3)5( 5.0)  3213740.9 
   230     2    2S2 2P5 7H1         (3)6( 5.0)  3213748.1 
   231     2    2S2 2P5 7H1         (1)4( 4.0)  3213748.3 
   232     2    2S2 2P5 7I1         (3)7( 6.0)  3213752.4 
   233     2    2S2 2P5 7I1         (1)5( 5.0)  3213752.4 
   234     2    2S2 2P5 7H1         (3)6( 6.0)  3213754.8 
   235     2    2S2 2P5 7H1         (3)4( 5.0)  3213754.9 
   236     2    2S2 2P5 7I1         (3)7( 7.0)  3213757.1 
   237     2    2S2 2P5 7I1         (3)5( 6.0)  3213757.2 
   238     1    2S2 2P5 8S1         (3)1( 2.0)  3221396.7 
   239     1    2S2 2P5 8S1         (1)1( 1.0)  3221675.6 
   240     1    2S2 2P5 8P1         (3)0( 1.0)  3226947.4 
   241     1    2S2 2P5 8P1         (3)2( 3.0)  3227311.2 
   242     1    2S2 2P5 8P1         (3)2( 2.0)  3227378.0 
   243     1    2S2 2P5 8P1         (1)1( 1.0)  3227606.6 
   244     1    2S2 2P5 8P1         (3)1( 2.0)  3227724.1 
   245     1    2S2 2P5 8P1         (1)0( 0.0)  3229639.9 
   246     1    2S2 2P5 8D1         (3)1( 0.0)  3234275.0 
   247     1    2S2 2P5 8D1         (3)1( 1.0)  3234470.8 
   248     1    2S2 2P5 8D1         (3)3( 4.0)  3234631.2 
   249     1    2S2 2P5 8D1         (3)1( 2.0)  3234744.3 
   250     1    2S2 2P5 8D1         (3)3( 3.0)  3234817.7 
   251     1    2S2 2P5 8D1         (1)2( 2.0)  3235056.2 
   252     1    2S2 2P5 8D1         (3)2( 3.0)  3235170.5 
   253     1    2S2 2P5 8D1         (1)1( 1.0)  3236369.8 
   254     1    2S2 2P5 8F1         (3)2( 1.0)  3237518.9 
   255     1    2S2 2P5 8F1         (3)2( 2.0)  3237585.8 
   256     1    2S2 2P5 8F1         (3)4( 5.0)  3237635.8 
   257     1    2S2 2P5 8F1         (1)4( 4.0)  3237652.7 
   258     1    2S2 2P5 8F1         (3)3( 3.0)  3237752.8 
   259     1    2S2 2P5 8F1         (3)3( 2.0)  3237818.3 
   260     1    2S2 2P5 8F1         (1)3( 3.0)  3237849.8 
   261     1    2S2 2P5 8F1         (3)3( 4.0)  3237867.0 
   262     1    2S2 2P5 8G1         (3)3( 2.0)  3237872.2 
   263     1    2S2 2P5 8G1         (3)3( 3.0)  3237881.3 
   264     1    2S2 2P5 8G1         (1)5( 5.0)  3237912.0 
   265     1    2S2 2P5 8G1         (3)5( 6.0)  3237917.1 
   266     1    2S2 2P5 8H1         (3)4( 3.0)  3237924.0 
   267     1    2S2 2P5 8H1         (3)4( 4.0)  3237928.4 
   268     1    2S2 2P5 8H1         (1)6( 6.0)  3237941.0 
   269     1    2S2 2P5 8I1         (3)5( 4.0)  3237943.9 
   270     1    2S2 2P5 8H1         (3)6( 7.0)  3237945.3 
   271     1    2S2 2P5 8I1         (3)5( 5.0)  3237947.0 
   272     1    2S2 2P5 8I1         (1)7( 7.0)  3237952.5 
   273     1    2S2 2P5 8J1         (3)6( 5.0)  3237954.4 
   274     1    2S2 2P5 8I1         (3)7( 8.0)  3237955.6 
   275     1    2S2 2P5 8J1         (3)6( 6.0)  3237956.7 
