SEQ='C '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15626082.5   NPRNTI= 5   NPRNTF= 8
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)      345.6 
     3          2S1 2P2             (4)1( 0.5)    66324.9 
     4          2S1 2P2             (4)1( 1.5)    66445.7 
     5          2S1 2P2             (4)1( 2.5)    66645.8 
     6          2S1 2P2             (2)2( 1.5)   130918.0*
     7          2S1 2P2             (2)2( 2.5)   130919.1*
     8          2S1 2P2             (2)1( 0.5)   168711.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  15798840.8   NLVL= 941
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   239     2    2S2 2P1 7P1         (1)0( 0.0)   151984.9 
   240     1    2S2 2P1 7D1         (3)3( 3.0)   152059.7 
   241     1    2S2 2P1 7D1         (1)2( 2.0)   152113.6 
   242     2    2S2 2P1 7D1         (3)3( 4.0)   152261.1 
   243     1    2S2 2P1 7D1         (3)2( 1.0)   152354.5 
   244     2    2S2 2P1 7D1         (3)2( 2.0)   152417.0 
   245     1    2S2 2P1 7F1         (1)3( 3.0)   152495.1 
   246     1    2S2 2P1 7F1         (3)3( 3.0)   152503.8 
   247     1    2S2 2P1 7F1         (3)3( 2.0)   152512.1 
   248     1    2S2 2P1 7F1         (3)4( 4.0)   152523.9 
   249     2    2S2 2P1 7D1         (3)2( 3.0)   152548.3 
   250     1    2S2 2P1 7G1         (3)4( 4.0)   152599.3 
   251     1    2S2 2P1 7G1         (3)4( 3.0)   152599.5 
   252     1    2S2 2P1 7G1         (3)5( 4.0)   152600.5 
   253     1    2S2 2P1 7G1         (3)5( 5.0)   152601.0 
   254     1    2S2 2P1 7H1         (1)4( 4.0)   152601.3 
   255     1    2S2 2P1 7H1         (3)4( 5.0)   152601.4 
   256     1    2S2 2P1 7H1         (3)6( 5.0)   152601.7 
   257     1    2S2 2P1 7H1         (3)6( 6.0)   152601.8 
   258     1    2S2 2P1 7I1         (1)5( 5.0)   152601.9 
   259     1    2S2 2P1 7I1         (3)5( 6.0)   152602.0 
   260     1    2S2 2P1 7I1         (3)7( 6.0)   152602.1 
   261     1    2S2 2P1 7I1         (3)7( 7.0)   152602.1 
   262     2    2S2 2P1 7D1         (3)1( 2.0)   152626.1 
   263     2    2S2 2P1 7D1         (3)1( 1.0)   152654.6 
   264     2    2S2 2P1 7D1         (3)1( 0.0)   152668.2 
   265     2    2S2 2P1 7F1         (3)4( 3.0)   152805.2 
