SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496278.1   NPRNTI= 5   NPRNTF= 5
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.1 

   LS RESOLVED TERM INDEXING            BWNR=  63582352.7   NTRM= 821
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   199     2    3S1 3P2 4D1         (3)3(10.0)   117584.7*     8.33E+11
   200     2    3S1 3P2 4D1         (5)2(12.0)   117679.9*     0.00E+00
   201     2    3S1 3P2 4D1         (3)2( 7.0)   117763.4*     8.54E+10
   202     2    3S1 3P2 5P1         (3)2( 7.0)   118044.7*     1.27E+14
   203     2    3S1 3P2 5P1         (3)1( 4.0)   118591.2*     6.72E+13
   204     2    3S1 3P2 4F1         (5)2(12.0)   119040.7*     0.00E+00
   205     2    3S1 3P2 4F1         (3)2( 7.0)   119046.3*     6.20E+11
   206     3    3S1 3P2 4S1         (1)2( 2.0)   119064.1*     2.46E+14  0.00E+00
   207     2    3S1 3P2 4F1         (5)4(22.0)   119110.1*     0.00E+00
   208     2    3S1 3P2 4F1         (3)4(13.0)   119125.3*     6.36E+09
   209     2    3S1 3P2 6S1         (5)1( 7.0)   119296.2*     0.00E+00
   210     2    3S1 3P2 4F1         (5)3(17.0)   119334.7*     0.00E+00
   211     2    3S1 3P2 4F1         (3)3(10.0)   119357.8*     1.13E+11
   212     2    3S1 3P2 5D1         (5)1( 7.0)   119520.4*     0.00E+00
   213     2    3S1 3P2 6S1         (3)1( 4.0)   119878.7*     2.51E+13
   214     2    3S1 3P2 5D1         (3)1( 4.0)   120251.2*     1.09E+11
   215     2    3S1 3P2 5D1         (3)2( 7.0)   120357.0*     4.36E+11
   216     2    3S1 3P2 5D1         (5)3(17.0)   120498.9*     0.00E+00
   217     2    3S1 3P2 5D1         (3)3(10.0)   120574.1*     3.09E+12
   218     2    3S1 3P2 6P1         (3)0( 1.0)   120602.0*     0.00E+00
   219     2    3S1 3P2 6P1         (5)2(12.0)   120637.7*     0.00E+00
   220     2    3S1 3P2 5D1         (5)2(12.0)   120673.1*     0.00E+00
   221     2    3S1 3P2 6P1         (5)0( 2.0)   120751.8*     0.00E+00
   222     2    3S1 3P2 6P1         (5)1( 7.0)   120794.7*     0.00E+00
   223     2    3S1 3P2 6P1         (3)2( 7.0)   121075.2*     4.32E+13
   224     2    3S1 3P2 6P1         (3)1( 4.0)   121318.3*     2.38E+13
