SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113539305.5   NPRNTI= 4   NPRNTF=18
   ---------------------
   INDP         CODE                 S L   WI        WNP
   128     9    2P6 3P2 3D1         (2)2( 1.5)   561034.7 
   129     1    2P6 3S2 5G1         (2)4( 3.5)   561338.8 
   130     1    2P6 3S2 5G1         (2)4( 4.5)   561347.1 
   131     4    2P6 3S1 3P1 4D1     (2)3( 3.5)   561463.3 
   132     4    2P6 3S1 3P1 4D1     (2)1( 1.5)   564073.8 
   133     4    2P6 3S1 3P1 4D1     (2)1( 0.5)   564829.8 
   134     9    2P6 3S1 3D2         (2)4( 3.5)   572675.5 
   135     9    2P6 3S1 3D2         (2)4( 4.5)   572703.1 
   136     1    2P6 3S2 6S1         (2)0( 0.5)   573600.2 
   137    10    2P6 3S1 3D2         (2)2( 2.5)   574316.9 
   138    10    2P6 3S1 3D2         (2)2( 1.5)   574438.5 
   139     2    2P6 3S1 3P1 4F1     (4)3( 2.5)   576711.0 
   140     3    2P6 3S1 3P1 4F1     (4)3( 1.5)   576731.8 
   141     2    2P6 3S1 3P1 4F1     (4)3( 3.5)   576794.9 
   142     3    2P6 3S1 3P1 4F1     (4)3( 4.5)   577092.0 
   143     3    2P6 3S1 3P1 4F1     (2)3( 2.5)   577311.5 
   144     3    2P6 3S1 3P1 4F1     (2)3( 3.5)   577647.3 
   145     3    2P6 3S1 3P1 4F1     (4)4( 2.5)   579048.2 
   146     3    2P6 3S1 3P1 4F1     (4)4( 3.5)   579464.1 
   147     4    2P6 3S1 3P1 4F1     (4)4( 4.5)   579975.3 
   148     4    2P6 3S1 3P1 4F1     (4)4( 5.5)   580555.5 
   149     4    2P6 3S1 3P1 4F1     (4)2( 3.5)   583535.1 
   150     4    2P6 3S1 3P1 4F1     (4)2( 2.5)   584062.6 
   151     4    2P6 3S1 3P1 4F1     (4)2( 1.5)   584447.1 
   152     4    2P6 3S1 3P1 4F1     (4)2( 0.5)   584675.9 
   153     1    2P6 3S2 6P1         (2)1( 0.5)   584981.0 
   154     1    2P6 3S2 6P1         (2)1( 1.5)   585124.2 
   155     4    2P6 3S1 3P1 4F1     (2)4( 3.5)   586652.1 
   156     4    2P6 3S1 3P1 4F1     (2)4( 4.5)   587830.6 
   157     4    2P6 3S1 3P1 4F1     (2)2( 2.5)   588851.4 
   158     4    2P6 3S1 3P1 4F1     (2)2( 1.5)   589682.3 
   159     6    2P6 3P2 4S1         (2)2( 2.5)   597481.8 
   160     6    2P6 3P2 4S1         (2)2( 1.5)   597560.6 
   161     7    2P6 3P2 4S1         (4)1( 0.5)   600790.3 
   162     1    2P6 3S2 6D1         (2)2( 1.5)   601005.3 
