SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63496462.9   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   269     1    3S2 3P1 8I1         (1)*( 5.0)    84356.5 
   270     1    3S2 3P1 8I1         (1)*( 6.0)    84356.5 
   271     1    3S2 3P1 8I1         (1)*( 6.0)    84356.5 
   272     1    3S2 3P1 8I1         (1)*( 7.0)    84356.5 
   273     1    3S2 3P1 8F1         (3)4( 3.0)    84356.9 
   274     1    3S2 3P1 8J1         (1)*( 6.0)    84358.4 
   275     1    3S2 3P1 8J1         (1)*( 7.0)    84358.4 
   276     1    3S2 3P1 8J1         (1)*( 7.0)    84358.4 
   277     1    3S2 3P1 8J1         (1)*( 8.0)    84358.4 
   278     1    3S2 3P1 8F1         (3)3( 3.0)    84358.6 
   279     1    3S2 3P1 8F1         (3)4( 4.0)    84360.1 
   280     1    3S2 3P1 8F1         (3)3( 2.0)    84360.4 
   281     2    3S2 3P1 8D1         (3)3( 4.0)    84461.1 
   282     2    3S2 3P1 8D1         (1)2( 2.0)    84475.7 
   283     2    3S2 3P1 8D1         (3)2( 3.0)    84523.7 
   284     2    3S2 3P1 8D1         (3)2( 2.0)    84547.1 
   285     2    3S2 3P1 8D1         (3)1( 1.0)    84552.2 
   286     2    3S2 3P1 8D1         (3)1( 0.0)    84553.3 
   287     2    3S2 3P1 8G1         (1)*( 2.0)    84623.3 
   288     2    3S2 3P1 8G1         (1)*( 3.0)    84623.3 
   289     2    3S2 3P1 8G1         (1)*( 4.0)    84623.3 
   290     2    3S2 3P1 8G1         (1)*( 5.0)    84623.3 
   291     2    3S2 3P1 8G1         (1)*( 3.0)    84623.3 
   292     2    3S2 3P1 8G1         (1)*( 4.0)    84623.3 
   293     2    3S2 3P1 8G1         (1)*( 5.0)    84623.3 
   294     2    3S2 3P1 8G1         (1)*( 6.0)    84623.3 
   295     2    3S2 3P1 8F1         (1)3( 3.0)    84625.1 
   296     2    3S2 3P1 8F1         (3)3( 4.0)    84626.9 
   297     2    3S2 3P1 8H1         (1)*( 3.0)    84631.5 
   298     2    3S2 3P1 8H1         (1)*( 4.0)    84631.5 
   299     2    3S2 3P1 8H1         (1)*( 5.0)    84631.5 
   300     2    3S2 3P1 8H1         (1)*( 6.0)    84631.5 
   301     2    3S2 3P1 8H1         (1)*( 4.0)    84631.5 
   302     2    3S2 3P1 8H1         (1)*( 5.0)    84631.5 
   303     2    3S2 3P1 8H1         (1)*( 6.0)    84631.5 
   304     2    3S2 3P1 8H1         (1)*( 7.0)    84631.5 
   305     2    3S2 3P1 8I1         (1)*( 4.0)    84635.1 
   306     2    3S2 3P1 8I1         (1)*( 5.0)    84635.1 
   307     2    3S2 3P1 8I1         (1)*( 6.0)    84635.1 
   308     2    3S2 3P1 8I1         (1)*( 7.0)    84635.1 
   309     2    3S2 3P1 8I1         (1)*( 5.0)    84635.1 
   310     2    3S2 3P1 8I1         (1)*( 6.0)    84635.1 
   311     2    3S2 3P1 8I1         (1)*( 7.0)    84635.1 
   312     2    3S2 3P1 8I1         (1)*( 8.0)    84635.1 
   313     2    3S2 3P1 8F1         (3)2( 3.0)    84635.3 
   314     2    3S2 3P1 8J1         (1)*( 5.0)    84636.9 
   315     2    3S2 3P1 8J1         (1)*( 6.0)    84636.9 
   316     2    3S2 3P1 8J1         (1)*( 7.0)    84636.9 
   317     2    3S2 3P1 8J1         (1)*( 8.0)    84636.9 
   318     2    3S2 3P1 8J1         (1)*( 6.0)    84636.9 
   319     2    3S2 3P1 8J1         (1)*( 7.0)    84636.9 
   320     2    3S2 3P1 8J1         (1)*( 8.0)    84636.9 
   321     2    3S2 3P1 8J1         (1)*( 9.0)    84636.9 
   322     2    3S2 3P1 8F1         (1)2( 2.0)    84637.1 
   323     2    3S2 3P1 8F1         (3)4( 5.0)    84641.5 
   324     2    3S2 3P1 8F1         (1)4( 4.0)    84646.7 
   325     2    3S2 3P1 8F1         (3)2( 1.0)    84652.7 
   326     2    3S2 3P1 8F1         (3)2( 2.0)    84654.9 
   327     2    3S2 3P1 8D1         (1)3( 3.0)    84660.8 
   328     2    3S2 3P1 8D1         (1)1( 1.0)    84670.1 
   329     3    3S1 3P2 4S1         (5)1( 1.0)    98245.4*
   330     4    3S1 3P2 4S1         (5)1( 2.0)    98341.9*
   331     5    3S1 3P2 4S1         (5)1( 3.0)    98485.4*
   332     3    3S1 3P2 4S1         (3)1( 0.0)   104697.6*
   333     4    3S1 3P2 4S1         (3)1( 1.0)   104778.8*
   334     5    3S1 3P2 4S1         (3)1( 2.0)   104938.4*
   335     3    3S1 3P2 4P1         (3)0( 1.0)   106991.5*
   336     3    3S1 3P2 4P1         (5)2( 0.0)   107820.5*
   337     3    3S1 3P2 4P1         (5)2( 1.0)   107845.8*
   338     3    3S1 3P2 4P1         (5)2( 2.0)   107897.0*
   339     4    3S1 3P2 4P1         (5)2( 3.0)   107975.5*
   340     5    3S1 3P2 4P1         (5)2( 4.0)   108082.9*
   341     4    3S1 3P2 4P1         (5)0( 2.0)   108558.4*
   342     4    3S1 3P2 4P1         (5)1( 1.0)   109108.8*
   343     4    3S1 3P2 4P1         (5)1( 2.0)   109172.9*
   344     5    3S1 3P2 4P1         (5)1( 3.0)   109238.2*
   345     4    3S1 3P2 4P1         (3)2( 1.0)   110273.0*
   346     5    3S1 3P2 4P1         (3)2( 2.0)   110352.1*
   347     5    3S1 3P2 4P1         (3)2( 3.0)   110474.0*
   348     4    3S1 3P2 4P1         (3)1( 0.0)   112092.7*
   349     5    3S1 3P2 4P1         (3)1( 1.0)   112130.6*
   350     5    3S1 3P2 4P1         (3)1( 2.0)   112199.7*
   351     3    3S1 3P2 5S1         (5)1( 1.0)   114200.0*
   352     4    3S1 3P2 5S1         (5)1( 2.0)   114296.2*
   353     5    3S1 3P2 5S1         (5)1( 3.0)   114440.7*
   354     3    3S1 3P2 5S1         (3)1( 0.0)   115665.0*
   355     6    3S1 3P2 4S1         (3)2( 1.0)   115717.7*
   356     6    3S1 3P2 4S1         (3)2( 2.0)   115719.9*
   357     7    3S1 3P2 4S1         (3)2( 3.0)   115723.1*
   358     4    3S1 3P2 5S1         (3)1( 1.0)   115746.7*
   359     5    3S1 3P2 5S1         (3)1( 2.0)   115906.4*
   360     3    3S1 3P2 4D1         (5)3( 1.0)   116437.0*
   361     3    3S1 3P2 4D1         (5)3( 2.0)   116466.0*
   362     3    3S1 3P2 4D1         (5)3( 3.0)   116511.4*
   363     4    3S1 3P2 4D1         (5)3( 4.0)   116575.9*
   364     5    3S1 3P2 4D1         (5)3( 5.0)   116663.8*
   365     3    3S1 3P2 5P1         (3)0( 1.0)   116953.0*
   366     3    3S1 3P2 5P1         (5)2( 0.0)   117077.9*
   367     3    3S1 3P2 5P1         (5)2( 1.0)   117099.1*
   368     4    3S1 3P2 4D1         (5)2( 0.0)   117132.8*
   369     4    3S1 3P2 4D1         (5)2( 1.0)   117140.8*
   370     3    3S1 3P2 5P1         (5)2( 2.0)   117142.6*
   371     3    3S1 3P2 4D1         (5)2( 2.0)   117157.2*
   372     4    3S1 3P2 4D1         (5)2( 3.0)   117183.4*
   373     4    3S1 3P2 5P1         (5)2( 3.0)   117216.4*
   374     5    3S1 3P2 4D1         (5)2( 4.0)   117222.0*
   375     5    3S1 3P2 5P1         (5)2( 4.0)   117326.7*
   376     4    3S1 3P2 5P1         (5)0( 2.0)   117392.6*
   377     4    3S1 3P2 5P1         (5)1( 1.0)   117520.7*
   378     4    3S1 3P2 5P1         (5)1( 2.0)   117618.6*
   379     5    3S1 3P2 5P1         (5)1( 3.0)   117645.8*
   380     4    3S1 3P2 5P1         (3)2( 1.0)   117916.7*
   381     5    3S1 3P2 5P1         (3)2( 2.0)   117994.7*
   382     5    3S1 3P2 5P1         (3)2( 3.0)   118122.4*
   383     4    3S1 3P2 4D1         (5)1( 3.0)   118395.5*
   384     4    3S1 3P2 4D1         (5)1( 2.0)   118461.5*
   385     4    3S1 3P2 4D1         (5)1( 1.0)   118509.1*
   386     4    3S1 3P2 5P1         (3)1( 0.0)   118518.1*
