SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114452481.1   NPRNTI= 5   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   279     2    3S2 3P1 8P1         (1)2( 2.0)   257414.6*     0.00E+00
   280     3    3S1 3P2 5P1         (3)0( 1.0)   257415.0*     0.00E+00  0.00E+00
   281     5    3S1 3P2 5P1         (5)2( 4.0)   257987.9*     0.00E+00  0.00E+00  0.00E+00  0.00E+00
   282     2    3S2 3P1 8P1         (1)0( 0.0)   258166.5*     0.00E+00
   283     4    3S1 3P2 5P1         (5)1( 1.0)   258910.3*     0.00E+00  0.00E+00  0.00E+00
   284     4    3S1 3P2 5P1         (5)1( 2.0)   259087.5*     0.00E+00  0.00E+00  0.00E+00
   285     5    3S1 3P2 5P1         (5)1( 3.0)   259712.3*     0.00E+00  0.00E+00  0.00E+00  0.00E+00
   286     1    3S2 3P1 8D1         (3)1( 2.0)   260557.3*
   287     1    3S2 3P1 8D1         (1)3( 3.0)   260597.5*
   288     1    3S2 3P1 8D1         (3)1( 1.0)   260894.0*
   289     1    3S2 3P1 8D1         (3)3( 2.0)   260939.6*
   290     2    3S2 3P1 8D1         (3)1( 0.0)   261602.5*     0.00E+00
   291     2    3S2 3P1 8D1         (1)1( 1.0)   261778.4*     0.00E+00
   292     2    3S2 3P1 8D1         (1)2( 2.0)   262260.8*     0.00E+00
   293     2    3S2 3P1 8D1         (3)3( 3.0)   262349.9*     0.00E+00
   294     4    3S1 3P2 5P1         (5)0( 2.0)   262665.5*     0.00E+00  0.00E+00  0.00E+00
   295     2    3S2 3P1 8D1         (3)2( 1.0)   262740.4*     0.00E+00
   296     2    3S2 3P1 8D1         (3)3( 4.0)   262875.7*     0.00E+00
   297     2    3S2 3P1 8D1         (3)2( 2.0)   262942.3*     0.00E+00
   298     1    3S2 3P1 8F1         (3)4( 3.0)   263081.1*
   299     4    3S1 3P2 5P1         (3)2( 1.0)   263087.0*     0.00E+00  0.00E+00  0.00E+00
   300     2    3S2 3P1 8D1         (3)2( 3.0)   263149.9*     0.00E+00
   301     1    3S2 3P1 8F1         (3)3( 3.0)   263274.2*
   302     1    3S2 3P1 8G1         (3)5( 4.0)   263335.9*
   303     1    3S2 3P1 8F1         (3)4( 4.0)   263359.9*
   304     1    3S2 3P1 8F1         (3)3( 2.0)   263456.7*
   305     1    3S2 3P1 8G1         (3)5( 5.0)   263480.2*
   306     5    3S1 3P2 5P1         (3)2( 2.0)   263600.6*     0.00E+00  0.00E+00  0.00E+00  0.00E+00
   307     1    3S2 3P1 8H1         (1)5( 5.0)   264012.9*
   308     1    3S2 3P1 8H1         (3)6( 5.0)   264013.3*
