    1   24        875.420      2.660e-04      3.860e+05            3s2.3p3 4S1.5 -       3s2.3p2(3P)3d 4D2.5
    2   24       1006.260      7.312e-03      8.030e+06            3s2.3p3 2D1.5 -       3s2.3p2(3P)3d 4D2.5
    3   24       1006.582      9.018e-04      9.890e+05            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 4D2.5
    5   24       1115.333      6.976e-06      6.230e+03            3s2.3p3 2P1.5 -       3s2.3p2(3P)3d 4D2.5
    3   25       1006.093      7.224e-03      5.950e+06            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 4D3.5
    1   26        871.049      4.664e-05      6.830e+04            3s2.3p3 4S1.5 -       3s2.3p2(3P)3d 2F2.5
    2   26       1000.488      4.256e-02      4.730e+07            3s2.3p3 2D1.5 -       3s2.3p2(3P)3d 2F2.5
    3   26       1000.806      2.220e-03      2.460e+06            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 2F2.5
    5   26       1108.246      1.839e-04      1.660e+05            3s2.3p3 2P1.5 -       3s2.3p2(3P)3d 2F2.5
    3   27        996.009      5.444e-02      4.580e+07            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 2F3.5
    1   28        834.839      2.948e-05      1.410e+05            3s2.3p3 4S1.5 -              3s.3p4 2S0.5
    2   28        953.011      1.515e-04      5.560e+05            3s2.3p3 2D1.5 -              3s.3p4 2S0.5
    4   28       1049.772      1.669e-02      5.050e+07            3s2.3p3 2P0.5 -              3s.3p4 2S0.5
    5   28       1050.287      2.745e-02      8.300e+07            3s2.3p3 2P1.5 -              3s.3p4 2S0.5
    1   29        822.852      8.340e-05      2.050e+05            3s2.3p3 4S1.5 -       3s2.3p2(1D)4s 2D1.5
    2   29        937.422      5.692e-01      1.080e+09            3s2.3p3 2D1.5 -       3s2.3p2(1D)4s 2D1.5
    3   29        937.701      4.619e-02      8.760e+07            3s2.3p3 2D2.5 -       3s2.3p2(1D)4s 2D1.5
    4   29       1030.888      7.722e-02      1.210e+08            3s2.3p3 2P0.5 -       3s2.3p2(1D)4s 2D1.5
    5   29       1031.385      4.192e-03      6.570e+06            3s2.3p3 2P1.5 -       3s2.3p2(1D)4s 2D1.5
    1   30        822.843      8.152e-04      1.340e+06            3s2.3p3 4S1.5 -       3s2.3p2(1D)4s 2D2.5
    2   30        937.410      7.552e-02      9.550e+07            3s2.3p3 2D1.5 -       3s2.3p2(1D)4s 2D2.5
    3   30        937.690      8.634e-01      1.090e+09            3s2.3p3 2D2.5 -       3s2.3p2(1D)4s 2D2.5
    5   30       1031.371      1.385e-01      1.450e+08            3s2.3p3 2P1.5 -       3s2.3p2(1D)4s 2D2.5
    6   31       2196.711      8.722e-06      6.030e+03             3s.3p4 4P0.5 -       3s2.3p2(3P)4p 2S0.5
    7   31       2186.826      1.034e-04      7.210e+04             3s.3p4 4P1.5 -       3s2.3p2(3P)4p 2S0.5
    9   31       3623.911      1.762e-04      4.470e+04             3s.3p4 2D1.5 -       3s2.3p2(3P)4p 2S0.5
   11   31       5143.755      1.152e-01      1.450e+07      3s2.3p2(3P)3d 2P0.5 -       3s2.3p2(3P)4p 2S0.5
   12   31       5028.605      2.298e-01      3.030e+07      3s2.3p2(3P)3d 2P1.5 -       3s2.3p2(3P)4p 2S0.5
   13   31       6279.604      2.686e-05      2.270e+03      3s2.3p2(3P)4s 4P0.5 -       3s2.3p2(3P)4p 2S0.5
   14   31       6388.278      3.971e-03      3.250e+05      3s2.3p2(3P)4s 4P1.5 -       3s2.3p2(3P)4p 2S0.5
   16   31       6532.429      2.756e-05      2.150e+03      3s2.3p2(3P)3d 4F1.5 -       3s2.3p2(3P)4p 2S0.5
   20   31       7969.590      2.134e-01      1.120e+07      3s2.3p2(3P)4s 2P0.5 -       3s2.3p2(3P)4p 2S0.5
   21   31       8316.888      3.944e-01      1.900e+07      3s2.3p2(3P)4s 2P1.5 -       3s2.3p2(3P)4p 2S0.5
   22   31       8831.606      1.952e-04      8.350e+03      3s2.3p2(3P)3d 4D0.5 -       3s2.3p2(3P)4p 2S0.5
   23   31       8861.533      2.021e-04      8.580e+03      3s2.3p2(3P)3d 4D1.5 -       3s2.3p2(3P)4p 2S0.5
   28   31      17539.215      8.976e-07      9.730e+00             3s.3p4 2S0.5 -       3s2.3p2(3P)4p 2S0.5
   29   31      25274.463      4.976e-04      2.600e+03      3s2.3p2(1D)4s 2D1.5 -       3s2.3p2(3P)4p 2S0.5
    6   32       2089.324      1.196e-04      9.140e+04             3s.3p4 4P0.5 -       3s2.3p2(3P)4p 4D0.5
    7   32       2080.379      7.700e-05      5.930e+04             3s.3p4 4P1.5 -       3s2.3p2(3P)4p 4D0.5
    9   32       3340.651      1.981e-04      5.920e+04             3s.3p4 2D1.5 -       3s2.3p2(3P)4p 4D0.5
   11   32       4591.191      2.720e-04      4.300e+04      3s2.3p2(3P)3d 2P0.5 -       3s2.3p2(3P)4p 4D0.5
   12   32       4499.231      2.547e-04      4.200e+04      3s2.3p2(3P)3d 2P1.5 -       3s2.3p2(3P)4p 4D0.5
   13   32       5475.145      5.714e-01      6.360e+07      3s2.3p2(3P)4s 4P0.5 -       3s2.3p2(3P)4p 4D0.5
   14   32       5557.576      9.636e-02      1.040e+07      3s2.3p2(3P)4s 4P1.5 -       3s2.3p2(3P)4p 4D0.5
   16   32       5666.356      3.758e-01      3.900e+07      3s2.3p2(3P)3d 4F1.5 -       3s2.3p2(3P)4p 4D0.5
   20   32       6717.052      5.540e-06      4.090e+02      3s2.3p2(3P)4s 2P0.5 -       3s2.3p2(3P)4p 4D0.5
   21   32       6962.085      3.943e-04      2.710e+04      3s2.3p2(3P)4s 2P1.5 -       3s2.3p2(3P)4p 4D0.5
   22   32       7319.168      2.248e-02      1.400e+06      3s2.3p2(3P)3d 4D0.5 -       3s2.3p2(3P)4p 4D0.5
   23   32       7339.711      1.714e-02      1.060e+06      3s2.3p2(3P)3d 4D1.5 -       3s2.3p2(3P)4p 4D0.5
   28   32      12435.808      2.026e-06      4.370e+01             3s.3p4 2S0.5 -       3s2.3p2(3P)4p 4D0.5
   29   32      15882.221      9.512e-05      1.260e+03      3s2.3p2(1D)4s 2D1.5 -       3s2.3p2(3P)4p 4D0.5
    6   33       2082.741      3.180e-04      1.220e+05             3s.3p4 4P0.5 -       3s2.3p2(3P)4p 4D1.5
    7   33       2073.853      2.357e-05      9.140e+03             3s.3p4 4P1.5 -       3s2.3p2(3P)4p 4D1.5
    8   33       2058.424      1.422e-04      5.600e+04             3s.3p4 4P2.5 -       3s2.3p2(3P)4p 4D1.5
    9   33       3323.855      6.320e-05      9.540e+03             3s.3p4 2D1.5 -       3s2.3p2(3P)4p 4D1.5
   10   33       3326.965      1.396e-04      2.100e+04             3s.3p4 2D2.5 -       3s2.3p2(3P)4p 4D1.5
   11   33       4559.527      1.994e-05      1.600e+03      3s2.3p2(3P)3d 2P0.5 -       3s2.3p2(3P)4p 4D1.5
   12   33       4468.818      1.888e-04      1.580e+04      3s2.3p2(3P)3d 2P1.5 -       3s2.3p2(3P)4p 4D1.5
