SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   191     9    1S2 2P2 3D1         (2)0( 0.5)  1149847.7 
   192     1    1S2 2S2 6D1         (2)2( 1.5)  1149935.6 
   193     1    1S2 2S2 6D1         (2)2( 2.5)  1149947.9 
   194     9    1S2 2P2 3D1         (2)1( 0.5)  1150170.4 
   195     9    1S2 2P2 3D1         (2)1( 1.5)  1150551.9 
   196     1    1S2 2S2 6F1         (2)3( 2.5)  1151735.7 
   197     1    1S2 2S2 6F1         (2)3( 3.5)  1151740.8 
   198     1    1S2 2S2 6G1         (2)4( 3.5)  1151956.7 
   199     1    1S2 2S2 6G1         (2)4( 4.5)  1151959.7 
   200     1    1S2 2S2 6H1         (2)5( 4.5)  1151967.5 
   201     1    1S2 2S2 6H1         (2)5( 5.5)  1151969.5 
   202     1    1S2 2S2 7S1         (2)0( 0.5)  1173859.9 
   203    10    1S2 2P2 3P1         (2)1( 0.5)  1174545.0 
   204    10    1S2 2P2 3P1         (2)1( 1.5)  1174679.8 
   205     1    1S2 2S2 7P1         (2)1( 0.5)  1177121.6 
   206     1    1S2 2S2 7P1         (2)1( 1.5)  1177153.3 
   207     1    1S2 2S2 7D1         (2)2( 1.5)  1179797.6 
   208     1    1S2 2S2 7D1         (2)2( 2.5)  1179805.3 
   209     1    1S2 2S2 7F1         (2)3( 2.5)  1180925.1 
   210     1    1S2 2S2 7F1         (2)3( 3.5)  1180928.3 
   211     1    1S2 2S2 7G1         (2)4( 3.5)  1181073.9 
   212     1    1S2 2S2 7G1         (2)4( 4.5)  1181075.7 
   213     1    1S2 2S2 7H1         (2)5( 4.5)  1181082.2 
   214     1    1S2 2S2 7H1         (2)5( 5.5)  1181083.5 
   215     2    1S2 2S1 2P1 5S1     (4)1( 0.5)  1193655.9 
   216     3    1S2 2S1 2P1 5S1     (4)1( 1.5)  1194234.7 
   217     1    1S2 2S2 8S1         (2)0( 0.5)  1195180.6 
   218     4    1S2 2S1 2P1 5S1     (4)1( 2.5)  1195304.5 
   219     1    1S2 2S2 8P1         (2)1( 0.5)  1197345.4 
   220     3    1S2 2S1 2P1 5S1     (2)1( 0.5)  1197364.9 
   221     1    1S2 2S2 8P1         (2)1( 1.5)  1197366.4 
   222     4    1S2 2S1 2P1 5S1     (2)1( 1.5)  1198599.5 
   223     1    1S2 2S2 8D1         (2)2( 1.5)  1199116.5 
   224     1    1S2 2S2 8D1         (2)2( 2.5)  1199121.7 
   225     1    1S2 2S2 8F1         (2)3( 2.5)  1199868.9 
   226     1    1S2 2S2 8F1         (2)3( 3.5)  1199871.0 
   227     1    1S2 2S2 8G1         (2)4( 3.5)  1199972.6 
   228     1    1S2 2S2 8G1         (2)4( 4.5)  1199973.8 
   229     1    1S2 2S2 8H1         (2)5( 4.5)  1199978.9 
   230     1    1S2 2S2 8H1         (2)5( 5.5)  1199979.7 
   231     5    1S2 2S1 2P1 4S1     (2)1( 0.5)  1199992.6 
   232     5    1S2 2S1 2P1 4S1     (2)1( 1.5)  1200024.3 
   233     2    1S2 2S1 2P1 5P1     (4)2( 0.5)  1202136.7 
   234     2    1S2 2S1 2P1 5P1     (4)2( 1.5)  1202462.5 
   235     3    1S2 2S1 2P1 5P1     (4)2( 2.5)  1202990.6 
   236     3    1S2 2S1 2P1 5P1     (2)1( 0.5)  1203642.3 
   237     3    1S2 2S1 2P1 5P1     (2)1( 1.5)  1203745.2 
