SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
             1.69E-20  2.31E-17  1.43E-16  2.12E-16  1.27E-16  5.97E-17  2.44E-17  6.71E-18  2.44E-18
   416       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.77E-38  2.67E-26
             1.56E-20  2.12E-17  1.31E-16  1.95E-16  1.16E-16  5.47E-17  2.23E-17  6.15E-18  2.24E-18
   417       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.27E-39  5.27E-27
             3.15E-21  4.35E-18  2.71E-17  4.02E-17  2.40E-17  1.13E-17  4.62E-18  1.27E-18  4.63E-19
   418       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.38E-38  7.12E-26
             4.16E-20  5.66E-17  3.50E-16  5.19E-16  3.10E-16  1.46E-16  5.95E-17  1.64E-17  5.97E-18
   419       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.63E-38  6.59E-26
             3.91E-20  5.37E-17  3.34E-16  4.95E-16  2.96E-16  1.39E-16  5.69E-17  1.57E-17  5.71E-18
   420       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.54E-38  1.53E-26
             9.15E-21  1.26E-17  7.85E-17  1.17E-16  6.97E-17  3.28E-17  1.34E-17  3.69E-18  1.34E-18
   421       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.11E-38  3.06E-26
             1.81E-20  2.48E-17  1.54E-16  2.29E-16  1.37E-16  6.44E-17  2.63E-17  7.25E-18  2.64E-18
   422       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.16E-38  7.87E-26
             4.59E-20  6.25E-17  3.87E-16  5.73E-16  3.42E-16  1.61E-16  6.58E-17  1.81E-17  6.60E-18
   423       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.27E-39  6.13E-27
             3.61E-21  4.94E-18  3.07E-17  4.55E-17  2.72E-17  1.28E-17  5.22E-18  1.44E-18  5.23E-19
   424       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.70E-39  8.51E-27
             5.01E-21  6.85E-18  4.25E-17  6.30E-17  3.76E-17  1.77E-17  7.23E-18  1.99E-18  7.25E-19
   425       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.76E-37  1.69E-25
             9.90E-20  1.35E-16  8.35E-16  1.24E-15  7.38E-16  3.47E-16  1.42E-16  3.91E-17  1.42E-17
   426       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.37E-38  1.34E-26
             7.88E-21  1.08E-17  6.69E-17  9.91E-17  5.92E-17  2.79E-17  1.14E-17  3.14E-18  1.14E-18
   427       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.29E-39  9.06E-27
             5.33E-21  7.28E-18  4.52E-17  6.69E-17  4.00E-17  1.88E-17  7.68E-18  2.12E-18  7.70E-19
   428       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.81E-39  3.73E-27
             2.20E-21  3.02E-18  1.87E-17  2.78E-17  1.66E-17  7.81E-18  3.19E-18  8.79E-19  3.20E-19
   429       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.33E-39  1.31E-27
             7.75E-22  1.07E-18  6.62E-18  9.82E-18  5.87E-18  2.76E-18  1.13E-18  3.11E-19  1.13E-19
   430       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.09E-38  4.91E-26
             2.87E-20  3.90E-17  2.42E-16  3.58E-16  2.14E-16  1.01E-16  4.11E-17  1.13E-17  4.12E-18
   431       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.09E-39  8.88E-27
             5.22E-21  7.13E-18  4.43E-17  6.55E-17  3.92E-17  1.84E-17  7.52E-18  2.07E-18  7.55E-19
   432       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.46E-38  2.42E-26
             1.43E-20  1.96E-17  1.22E-16  1.80E-16  1.08E-16  5.08E-17  2.07E-17  5.71E-18  2.08E-18
   433       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.50E-40  5.41E-28
             3.19E-22  4.38E-19  2.72E-18  4.03E-18  2.41E-18  1.13E-18  4.62E-19  1.27E-19  4.64E-20
   434       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.59E-40  6.48E-28
             3.82E-22  5.23E-19  3.25E-18  4.81E-18  2.87E-18  1.35E-18  5.52E-19  1.52E-19  5.54E-20
   435       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.49E-41  1.47E-29
             8.66E-24  1.19E-20  7.37E-20  1.09E-19  6.53E-20  3.07E-20  1.25E-20  3.46E-21  1.26E-21
   436       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.92E-41  1.89E-29
             1.11E-23  1.52E-20  9.46E-20  1.40E-19  8.38E-20  3.94E-20  1.61E-20  4.44E-21  1.61E-21
   437       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.94E-43  1.91E-31
             1.13E-25  1.54E-22  9.59E-22  1.42E-21  8.49E-22  4.00E-22  1.63E-22  4.50E-23  1.64E-23
   438       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.38E-43  2.34E-31
             1.38E-25  1.89E-22  1.17E-21  1.74E-21  1.04E-21  4.90E-22  2.00E-22  5.51E-23  2.00E-23
   439       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.23E-38  2.18E-26
             1.28E-20  1.75E-17  1.09E-16  1.61E-16  9.61E-17  4.52E-17  1.85E-17  5.09E-18  1.85E-18
   440       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.51E-38  1.47E-26
             8.61E-21  1.18E-17  7.30E-17  1.08E-16  6.46E-17  3.04E-17  1.24E-17  3.42E-18  1.24E-18
   441       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.92E-40  1.90E-28
             1.13E-22  1.55E-19  9.64E-19  1.43E-18  8.55E-19  4.03E-19  1.64E-19  4.53E-20  1.65E-20
   442       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.93E-40  3.88E-28
             2.29E-22  3.14E-19  1.95E-18  2.89E-18  1.73E-18  8.14E-19  3.32E-19  9.15E-20  3.33E-20
   443       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.97E-40  9.83E-28
             5.81E-22  7.96E-19  4.94E-18  7.32E-18  4.37E-18  2.06E-18  8.40E-19  2.32E-19  8.43E-20
   444       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.56E-40  8.42E-28
             4.97E-22  6.81E-19  4.23E-18  6.27E-18  3.74E-18  1.76E-18  7.19E-19  1.98E-19  7.22E-20
   445       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.35E-39  9.09E-27
             5.34E-21  7.30E-18  4.53E-17  6.71E-17  4.01E-17  1.89E-17  7.70E-18  2.12E-18  7.73E-19
   446       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.37E-39  5.22E-27
             3.07E-21  4.19E-18  2.60E-17  3.86E-17  2.30E-17  1.08E-17  4.43E-18  1.22E-18  4.44E-19
   447       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.31E-42  7.26E-30
             4.30E-24  5.91E-21  3.68E-20  5.45E-20  3.26E-20  1.53E-20  6.26E-21  1.73E-21  6.28E-22
   448       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-41  1.02E-29
             6.03E-24  8.28E-21  5.14E-20  7.62E-20  4.56E-20  2.15E-20  8.75E-21  2.41E-21  8.78E-22
   449       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.57E-41  2.53E-29
             1.50E-23  2.05E-20  1.27E-19  1.89E-19  1.13E-19  5.31E-20  2.17E-20  5.98E-21  2.18E-21
   450       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.21E-41  2.18E-29
             1.29E-23  1.76E-20  1.10E-19  1.62E-19  9.70E-20  4.57E-20  1.86E-20  5.14E-21  1.87E-21
   451       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.41E-39  2.34E-27
             1.38E-21  1.89E-18  1.17E-17  1.73E-17  1.04E-17  4.88E-18  1.99E-18  5.49E-19  2.00E-19
   452       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.05E-43  1.04E-31
             6.19E-26  8.51E-23  5.29E-22  7.84E-22  4.69E-22  2.21E-22  9.00E-23  2.48E-23  9.03E-24
   453       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.35E-43  1.34E-31
             7.91E-26  1.09E-22  6.76E-22  1.00E-21  5.99E-22  2.82E-22  1.15E-22  3.17E-23  1.15E-23
   454       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.78E-40  5.70E-28
             3.37E-22  4.61E-19  2.86E-18  4.24E-18  2.54E-18  1.19E-18  4.87E-19  1.34E-19  4.89E-20
   455       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.70E-43  2.66E-31
             1.57E-25  2.16E-22  1.34E-21  1.99E-21  1.19E-21  5.59E-22  2.28E-22  6.29E-23  2.29E-23
   456       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.10E-43  3.06E-31
             1.81E-25  2.48E-22  1.54E-21  2.28E-21  1.36E-21  6.42E-22  2.62E-22  7.22E-23  2.63E-23
   457       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.94E-40  8.80E-28
             5.20E-22  7.12E-19  4.42E-18  6.55E-18  3.91E-18  1.84E-18  7.52E-19  2.07E-19  7.54E-20
   458       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.32E-43  2.29E-31
             1.35E-25  1.85E-22  1.15E-21  1.71E-21  1.02E-21  4.80E-22  1.96E-22  5.40E-23  1.96E-23
   459       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.80E-43  2.76E-31
             1.63E-25  2.24E-22  1.39E-21  2.06E-21  1.23E-21  5.79E-22  2.36E-22  6.52E-23  2.37E-23
   460       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.72E-41  1.69E-29
             1.00E-23  1.37E-20  8.53E-20  1.26E-19  7.56E-20  3.56E-20  1.45E-20  4.00E-21  1.46E-21
   461       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.21E-41  2.18E-29
             1.29E-23  1.76E-20  1.10E-19  1.62E-19  9.70E-20  4.57E-20  1.86E-20  5.14E-21  1.87E-21
   462       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.37E-38  2.32E-26
             1.37E-20  1.87E-17  1.16E-16  1.72E-16  1.02E-16  4.83E-17  1.97E-17  5.43E-18  1.97E-18
   463       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.45E-39  1.43E-27
             8.44E-22  1.16E-18  7.18E-18  1.06E-17  6.36E-18  2.99E-18  1.22E-18  3.37E-19  1.23E-19
   464       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.10E-39  1.08E-27
             6.37E-22  8.72E-19  5.41E-18  8.02E-18  4.79E-18  2.26E-18  9.21E-19  2.54E-19  9.24E-20
   465       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.34E-38  1.31E-26
             7.71E-21  1.05E-17  6.54E-17  9.69E-17  5.79E-17  2.73E-17  1.11E-17  3.07E-18  1.12E-18
   466       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.51E-40  7.39E-28
             4.36E-22  5.98E-19  3.71E-18  5.50E-18  3.29E-18  1.55E-18  6.32E-19  1.74E-19  6.33E-20
   467       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.28E-39  1.26E-27
             7.43E-22  1.02E-18  6.31E-18  9.35E-18  5.59E-18  2.63E-18  1.07E-18  2.96E-19  1.08E-19
   468       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.01E-39  1.98E-27
             1.17E-21  1.61E-18  9.98E-18  1.48E-17  8.84E-18  4.16E-18  1.70E-18  4.68E-19  1.70E-19
   469       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.26E-38  4.17E-26
             2.45E-20  3.35E-17  2.08E-16  3.08E-16  1.84E-16  8.66E-17  3.53E-17  9.75E-18  3.55E-18
   470       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.23E-41  3.18E-29
             1.88E-23  2.58E-20  1.60E-19  2.37E-19  1.42E-19  6.67E-20  2.72E-20  7.50E-21  2.73E-21
   471       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.97E-41  3.91E-29
             2.31E-23  3.16E-20  1.96E-19  2.91E-19  1.74E-19  8.19E-20  3.34E-20  9.21E-21  3.35E-21
   472       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.47E-41  2.44E-29
             1.44E-23  1.97E-20  1.22E-19  1.81E-19  1.08E-19  5.10E-20  2.08E-20  5.74E-21  2.09E-21
   473       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.20E-41  3.15E-29
             1.86E-23  2.54E-20  1.58E-19  2.34E-19  1.40E-19  6.58E-20  2.69E-20  7.41E-21  2.69E-21
   474       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.22E-40  4.16E-28
             2.46E-22  3.37E-19  2.09E-18  3.10E-18  1.85E-18  8.73E-19  3.56E-19  9.82E-20  3.57E-20
   475       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.24E-43  3.19E-31
             1.89E-25  2.59E-22  1.61E-21  2.38E-21  1.42E-21  6.69E-22  2.73E-22  7.53E-23  2.74E-23
   476       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.93E-43  3.87E-31
             2.29E-25  3.13E-22  1.95E-21  2.88E-21  1.72E-21  8.11E-22  3.31E-22  9.13E-23  3.32E-23
   477       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.23E-43  4.17E-31
             2.46E-25  3.38E-22  2.10E-21  3.11E-21  1.86E-21  8.74E-22  3.57E-22  9.83E-23  3.58E-23
   478       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.93E-43  4.86E-31
             2.87E-25  3.93E-22  2.44E-21  3.62E-21  2.16E-21  1.02E-21  4.16E-22  1.15E-22  4.17E-23
   479       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.91E-40  7.77E-28
             4.58E-22  6.27E-19  3.89E-18  5.76E-18  3.45E-18  1.62E-18  6.62E-19  1.82E-19  6.64E-20
   480       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.14E-43  2.11E-31
             1.25E-25  1.71E-22  1.06E-21  1.58E-21  9.43E-22  4.44E-22  1.81E-22  5.00E-23  1.82E-23
   481       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.72E-43  2.68E-31
             1.58E-25  2.17E-22  1.35E-21  2.00E-21  1.19E-21  5.63E-22  2.30E-22  6.33E-23  2.30E-23
   482       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.54E-41  1.52E-29
             8.96E-24  1.23E-20  7.63E-20  1.13E-19  6.76E-20  3.18E-20  1.30E-20  3.58E-21  1.30E-21
   483       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.09E-41  2.06E-29
             1.22E-23  1.67E-20  1.04E-19  1.53E-19  9.17E-20  4.32E-20  1.76E-20  4.86E-21  1.77E-21
   484       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.27E-40  1.26E-28
             7.47E-23  1.03E-19  6.38E-19  9.45E-19  5.65E-19  2.66E-19  1.09E-19  2.99E-20  1.09E-20
   485       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.13E-43  5.07E-31
             3.00E-25  4.11E-22  2.56E-21  3.79E-21  2.26E-21  1.07E-21  4.35E-22  1.20E-22  4.36E-23
   486       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.77E-43  5.71E-31
             3.38E-25  4.63E-22  2.88E-21  4.26E-21  2.55E-21  1.20E-21  4.90E-22  1.35E-22  4.91E-23
   487       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.91E-41  4.86E-29
             2.87E-23  3.94E-20  2.45E-19  3.63E-19  2.17E-19  1.02E-19  4.17E-20  1.15E-20  4.18E-21
   488       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.35E-41  4.29E-29
             2.54E-23  3.48E-20  2.16E-19  3.20E-19  1.91E-19  9.01E-20  3.68E-20  1.01E-20  3.69E-21
   489       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.04E-43  1.03E-31
             6.12E-26  8.41E-23  5.23E-22  7.75E-22  4.63E-22  2.18E-22  8.90E-23  2.45E-23  8.93E-24
   490       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.43E-43  1.42E-31
             8.38E-26  1.15E-22  7.15E-22  1.06E-21  6.34E-22  2.98E-22  1.22E-22  3.36E-23  1.22E-23
   491       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.78E-39  1.75E-27
             1.03E-21  1.41E-18  8.78E-18  1.30E-17  7.78E-18  3.66E-18  1.49E-18  4.12E-19  1.50E-19
   492       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.88E-42  6.81E-30
             4.04E-24  5.54E-21  3.44E-20  5.10E-20  3.05E-20  1.44E-20  5.86E-21  1.62E-21  5.88E-22
   493       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.12E-41  1.10E-29
             6.53E-24  8.95E-21  5.56E-20  8.24E-20  4.93E-20  2.32E-20  9.46E-21  2.61E-21  9.49E-22
   494       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.75E-39  8.55E-27
             5.03E-21  6.88E-18  4.27E-17  6.32E-17  3.78E-17  1.78E-17  7.26E-18  2.00E-18  7.28E-19
   495       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.28E-40  5.19E-28
             3.06E-22  4.19E-19  2.60E-18  3.85E-18  2.30E-18  1.08E-18  4.42E-19  1.22E-19  4.44E-20
   496       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.02E-39  1.07E-27
             6.56E-22  9.20E-19  5.75E-18  8.56E-18  5.13E-18  2.42E-18  9.86E-19  2.72E-19  9.90E-20
   497       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.70E-39  1.82E-27
             1.12E-21  1.58E-18  9.90E-18  1.47E-17  8.83E-18  4.16E-18  1.70E-18  4.69E-19  1.71E-19
   498       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.29E-39  2.43E-27
             1.50E-21  2.10E-18  1.32E-17  1.96E-17  1.17E-17  5.54E-18  2.26E-18  6.23E-19  2.27E-19
   499       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.26E-39  3.50E-27
             2.16E-21  3.05E-18  1.91E-17  2.84E-17  1.70E-17  8.03E-18  3.28E-18  9.04E-19  3.29E-19
   500       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.58E-39  5.95E-27
             3.67E-21  5.16E-18  3.23E-17  4.81E-17  2.88E-17  1.36E-17  5.55E-18  1.53E-18  5.57E-19
   501       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.25E-38  1.33E-26
             8.20E-21  1.15E-17  7.21E-17  1.07E-16  6.42E-17  3.03E-17  1.24E-17  3.41E-18  1.24E-18
   502       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.72E-39  8.23E-27
             5.06E-21  7.11E-18  4.45E-17  6.63E-17  3.97E-17  1.87E-17  7.64E-18  2.11E-18  7.67E-19
   503       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.52E-38  1.61E-26
             9.87E-21  1.38E-17  8.66E-17  1.29E-16  7.71E-17  3.64E-17  1.48E-17  4.09E-18  1.49E-18
   504       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.89E-38  2.03E-26
             1.26E-20  1.77E-17  1.11E-16  1.65E-16  9.88E-17  4.66E-17  1.90E-17  5.24E-18  1.91E-18
   505       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.41E-38  1.48E-26
             8.99E-21  1.25E-17  7.83E-17  1.16E-16  6.97E-17  3.28E-17  1.34E-17  3.70E-18  1.34E-18
   506       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.10E-39  4.41E-27
             2.73E-21  3.86E-18  2.42E-17  3.60E-17  2.16E-17  1.02E-17  4.16E-18  1.15E-18  4.17E-19
   507       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.04E-38  4.23E-26
             2.58E-20  3.59E-17  2.24E-16  3.34E-16  2.00E-16  9.41E-17  3.84E-17  1.06E-17  3.85E-18
   508       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.11E-39  4.35E-27
             2.67E-21  3.74E-18  2.34E-17  3.48E-17  2.08E-17  9.81E-18  4.01E-18  1.10E-18  4.02E-19
   509       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.98E-38  4.29E-26
             2.65E-20  3.74E-17  2.34E-16  3.49E-16  2.09E-16  9.85E-17  4.02E-17  1.11E-17  4.03E-18
   510       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.23E-39  5.54E-27
             3.39E-21  4.75E-18  2.97E-17  4.42E-17  2.65E-17  1.25E-17  5.09E-18  1.40E-18  5.10E-19
   511       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.92E-38  4.11E-26
             2.50E-20  3.49E-17  2.18E-16  3.24E-16  1.94E-16  9.14E-17  3.73E-17  1.03E-17  3.74E-18
   512       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.63E-38  1.73E-26
             1.07E-20  1.50E-17  9.37E-17  1.39E-16  8.36E-17  3.94E-17  1.61E-17  4.43E-18  1.61E-18
   513       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.01E-38  2.15E-26
             1.32E-20  1.86E-17  1.17E-16  1.74E-16  1.04E-16  4.91E-17  2.00E-17  5.53E-18  2.01E-18
   514       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.38E-39  8.88E-27
             5.44E-21  7.63E-18  4.77E-17  7.10E-17  4.25E-17  2.00E-17  8.18E-18  2.26E-18  8.21E-19
   515       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.89E-39  6.23E-27
             3.81E-21  5.34E-18  3.34E-17  4.97E-17  2.97E-17  1.40E-17  5.72E-18  1.58E-18  5.74E-19
   516       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.49E-39  2.65E-27
