SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114332270.4   NPRNTI=10   NPRNTF=55
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   199     7    3S1 3P2 4P1         (1)2( 2.0)   494419.5 
   200     8    3S1 3P2 4S1         (1)0( 0.0)   495286.2 
   201  9999    3P3 3D1             (1)1( 1.0)   495507.3 
   202  9999    3P3 3D1             (3)1( 0.0)   496396.1 
   203  9999    3P3 3D1             (3)2( 1.0)   496503.3 
   204  9999    3P3 3D1             (3)2( 2.0)   496955.1 
   205  9999    3P3 3D1             (3)1( 1.0)   497006.1 
   206  9999    3S1 3P1 3D2         (5)4( 2.0)   497507.2 
   207  9999    3P3 3D1             (3)1( 2.0)   497696.2 
   208  9999    3S1 3P1 3D2         (5)4( 3.0)   497776.5 
   209  9999    3P3 3D1             (3)2( 3.0)   497853.8 
   210     7    3S1 3P2 4P1         (1)3( 3.0)   498109.9 
   211  9999    3S1 3P1 3D2         (5)4( 4.0)   498138.2 
   212  9999    3S1 3P1 3D2         (5)4( 5.0)   498594.3 
   213     1    3S2 3P1 5D1         (1)2( 2.0)   498610.6 
   214  9999    3P3 3D1             (3)0( 1.0)   498794.7 
   215     9    3S1 3P2 4S1         (3)1( 0.0)   498834.5 
   216     9    3S1 3P2 4S1         (3)1( 1.0)   498900.4 
   217     1    3S2 3P1 5D1         (3)2( 2.0)   499067.8 
   218     1    3S2 3P1 5D1         (3)2( 1.0)   499120.8 
   219  9999    3S1 3P1 3D2         (5)4( 6.0)   499148.0 
   220     1    3S2 3P1 5D1         (3)2( 3.0)   499314.1 
   221    10    3S1 3P2 4S1         (3)1( 2.0)   499769.1 
   222     2    3S2 3P1 5D1         (3)3( 2.0)   500421.4 
   223     2    3S2 3P1 5D1         (3)3( 3.0)   500714.5 
   224     2    3S2 3P1 5D1         (3)3( 4.0)   501210.1 
   225     6    3S1 3P2 4P1         (3)1( 1.0)   501258.0 
   226     6    3S1 3P2 4P1         (3)1( 0.0)   501267.4 
   227     7    3S1 3P2 4P1         (3)1( 2.0)   501280.9 
   228     2    3S2 3P1 5D1         (3)1( 2.0)   501914.9 
   229     2    3S2 3P1 5D1         (3)1( 1.0)   502243.1 
   230     2    3S2 3P1 5D1         (3)1( 0.0)   502505.3 
   231     2    3S2 3P1 5D1         (1)3( 3.0)   502689.1 
   232     7    3S1 3P2 4P1         (1)1( 1.0)   502934.1 
   233    10    3S1 3P2 4S1         (1)1( 1.0)   503447.9 
   234     2    3S2 3P1 5D1         (1)1( 1.0)   503768.6 
   235  9999    3P3 3D1             (3)3( 4.0)   503810.3 
   236  9999    3P3 3D1             (3)3( 3.0)   503918.6 
   237  9999    3P3 3D1             (3)1( 2.0)   503947.3 
   238  9999    3P3 3D1             (3)3( 2.0)   504042.8 
   239  9999    3P3 3D1             (3)1( 1.0)   504673.2 
   240  9999    3P3 3D1             (3)1( 0.0)   504920.9 
   241     1    3S2 3P1 5F1         (1)3( 3.0)   510665.1 
   242     1    3S2 3P1 5F1         (3)3( 3.0)   511270.4 
   243     1    3S2 3P1 5F1         (3)3( 4.0)   511481.1 
   244     1    3S2 3P1 5F1         (3)3( 2.0)   511545.6 
   245     2    3S2 3P1 5F1         (3)4( 3.0)   512503.8 
   246     2    3S2 3P1 5F1         (3)4( 4.0)   512802.9 
   247     2    3S2 3P1 5F1         (3)4( 5.0)   513043.9 
   248     1    3S2 3P1 5G1         (1)*( 3.0)   513808.1 
   249     1    3S2 3P1 5G1         (1)*( 4.0)   513808.1 
   250     1    3S2 3P1 5G1         (1)*( 4.0)   513808.1 
   251     1    3S2 3P1 5G1         (1)*( 5.0)   513808.1 
   252     2    3S2 3P1 5F1         (3)2( 3.0)   514010.4 
   253     2    3S2 3P1 5F1         (3)2( 2.0)   514355.6 
   254     2    3S2 3P1 5F1         (3)2( 1.0)   514686.3 
   255     3    3S1 3P2 4D1         (5)3( 1.0)   515550.1 
   256     2    3S2 3P1 5G1         (1)*( 2.0)   515614.7 
   257     2    3S2 3P1 5G1         (1)*( 3.0)   515614.7 
   258     2    3S2 3P1 5G1         (1)*( 4.0)   515614.7 
   259     2    3S2 3P1 5G1         (1)*( 5.0)   515614.7 
   260     2    3S2 3P1 5G1         (1)*( 3.0)   515614.7 
   261     2    3S2 3P1 5G1         (1)*( 4.0)   515614.7 
   262     2    3S2 3P1 5G1         (1)*( 5.0)   515614.7 
   263     2    3S2 3P1 5G1         (1)*( 6.0)   515614.7 
   264     3    3S1 3P2 4D1         (5)3( 2.0)   515742.3 
   265  9999    3S2 3D2             (1)0( 0.0)   515756.7 
   266     1    3S2 3P1 6S1         (3)1( 0.0)   515862.5 
   267     3    3S1 3P2 4D1         (5)3( 3.0)   516006.1 
   268     1    3S2 3P1 6S1         (3)1( 1.0)   516077.1 
   269     2    3S2 3P1 5F1         (1)4( 4.0)   516129.0 
   270     4    3S1 3P2 4D1         (5)1( 3.0)   516148.8 
   271     2    3S2 3P1 5F1         (1)2( 2.0)   516381.9 
   272     4    3S1 3P2 4D1         (5)3( 4.0)   516478.6 
   273     3    3S1 3P2 4D1         (5)1( 2.0)   516534.5 
   274     4    3S1 3P2 4D1         (5)1( 1.0)   516877.0 
   275     5    3S1 3P2 4D1         (5)3( 5.0)   517052.4 
   276     2    3S2 3P1 6S1         (3)1( 2.0)   517669.1 
   277     4    3S1 3P2 4D1         (3)1( 2.0)   517683.5 
