  statistical weighted cross sections of H I to  n=10 from Nahar
   90.751331968593590        2.6096001195554445E-020
   90.887388897228249        2.5976001190056799E-020
   91.023445825862893        2.5857001184604970E-020
   91.159502754497524        2.5739001179198954E-020
   91.295559683132169        2.5621001173792935E-020
   91.431616611766827        2.5504001168432731E-020
   91.567673540401458        2.5388001163118343E-020
   91.703730469036103        2.5272001157803952E-020
   91.839787397670747        2.5157001152535376E-020
   91.975844326305392        2.5043001147312612E-020
   92.111901254940037        2.4929001142089851E-020
   92.247958183574681        2.4816001136912903E-020
   92.384015112209312        2.4704001131781767E-020
   92.520072040843957        2.4592001126650631E-020
   92.656128969478615        2.4481001121565311E-020
   92.792185898113246        2.4371001116525803E-020
   92.928242826747891        2.4261001111486298E-020
   93.064299755382535        2.4152001106492602E-020
   93.200356684017180        2.4044001101544722E-020
   93.336413612651825        2.3936001096596841E-020
   93.472470541286469        2.3829001091694776E-020
   93.608527469921114        2.3723001086838524E-020
   93.744584398555759        2.3617001081982268E-020
   93.880641327190403        2.3511001077126019E-020
   94.016698255825048        2.3407001072361394E-020
   94.152755184459679        2.3303001067596769E-020
   94.288812113094338        2.3199001062832141E-020
   94.424869041728982        2.3097001058159144E-020
   94.560925970363613        2.2994001053440331E-020
   94.696982898998257        2.2893001048813147E-020
   94.833039827632916        2.2792001044185962E-020
   94.969096756267547        2.2691001039558780E-020
   95.105153684902191        2.2591001034977408E-020
   95.241210613536836        2.2492001030441854E-020
   95.377267542171481        2.2393001025906294E-020
   95.513324470806126        2.2295001021416552E-020
   95.649381399440770        2.2198001016972623E-020
   95.785438328075401        2.2101001012528694E-020
   95.921495256710045        2.2004001008084765E-020
   96.057552185344704        2.1908001003686648E-020
   96.193609113979335        2.1813000999334346E-020
   96.329666042613979        2.1718000994982045E-020
   96.465722971248624        2.1624000990675556E-020
   96.601779899883269        2.1530000986369069E-020
   96.737836828517914        2.1437000982108396E-020
   96.873893757152558        2.1344000977847716E-020
   97.009950685787203        2.1252000973632858E-020
   97.146007614421848        2.1160000969417999E-020
   97.282064543056492        2.1069000965248950E-020
   97.418121471691137        2.0978000961079904E-020
   97.554178400325767        2.0888000956956671E-020
   97.690235328960426        2.0798000952833437E-020
   97.826292257595071        2.0709000948756019E-020
   97.962349186229702        2.0621000944724410E-020
   98.098406114864346        2.0532000940646992E-020
   98.234463043499005        2.0445000936661198E-020
   98.370519972133636        2.0358000932675408E-020
   98.506576900768280        2.0271000928689614E-020
   98.642633829402925        2.0185000924749636E-020
   98.778690758037570        2.0099000920809655E-020
   98.914747686672214        2.0014000916915492E-020
   99.050804615306859        1.9929000913021326E-020
   99.186861543941490        1.9845000909172976E-020
   99.322918472576134        1.9761000905324625E-020
   99.458975401210793        1.9678000901522087E-020
   99.595032329845424        1.9595000897719549E-020
   99.731089258480068        1.9512000893917011E-020
   99.867146187114713        1.9430000890160286E-020
   100.00320311574936        1.9349000886449379E-020
   100.13926004438400        1.9268000882738468E-020
