SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112580517.2   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   139182.0 
     3          3P1                 (2)1( 1.5)   141357.6 
     4          3D1                 (2)2( 1.5)   332144.3*
     5          3D1                 (2)2( 2.5)   332333.0*

   IC RESOLVED LEVEL INDEXING           BWNR= 113581641.6   NLVL= 453
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   203     4    3D1 4D1             (3)2( 3.0)   962704.9 
   204     2    3P1 6P1             (1)1( 1.0)   964357.2 
   205     5    3D1 4D1             (3)4( 3.0)   964388.6 
   206     4    3D1 4D1             (3)4( 4.0)   964485.4 
   207     4    3D1 4D1             (1)1( 1.0)   964522.4 
   208     5    3D1 4D1             (3)4( 5.0)   964608.0 
   209     2    3P1 6P1             (3)2( 1.0)   965273.3 
   210     2    3P1 6P1             (3)2( 2.0)   965454.8 
   211     2    3P1 6P1             (3)1( 0.0)   965964.1 
   212     3    3P1 6P1             (3)1( 1.0)   966830.6 
   213     3    3P1 6P1             (3)2( 3.0)   967094.3 
   214     3    3P1 6P1             (3)1( 2.0)   967513.1 
   215     3    3P1 6P1             (3)0( 1.0)   968425.8 
   216     5    3D1 4D1             (3)0( 1.0)   969243.7 
   217     3    3P1 6P1             (1)2( 2.0)   969297.6 
   218     4    3D1 4D1             (3)3( 2.0)   972013.8 
   219     5    3D1 4D1             (3)3( 3.0)   972088.4 
   220     5    3D1 4D1             (3)3( 4.0)   972185.7 
   221     3    3P1 6P1             (1)0( 0.0)   972337.7 
   222     5    3D1 4D1             (1)2( 2.0)   978573.1 
   223     4    3D1 4D1             (3)1( 0.0)   979856.1 
   224     5    3D1 4D1             (3)1( 1.0)   979881.9 
   225     5    3D1 4D1             (3)1( 2.0)   979934.5 
   226     4    3D1 4F1             (1)4( 4.0)   981761.2 
   227     5    3D1 4D1             (1)4( 4.0)   981789.9 
   228     2    3P1 6D1             (1)2( 2.0)   982359.7 
   229     2    3P1 6D1             (3)2( 2.0)   982551.1 
   230     2    3P1 6D1             (3)2( 1.0)   982618.6 
   231     2    3P1 6D1             (3)2( 3.0)   982781.2 
   232     4    3D1 4F1             (3)5( 4.0)   983262.6 
   233     4    3D1 4F1             (3)5( 5.0)   983345.9 
   234     5    3D1 4F1             (3)5( 6.0)   983448.4 
   235     3    3P1 6D1             (3)3( 2.0)   984292.3 
   236     3    3P1 6D1             (3)3( 3.0)   984498.4 
   237     3    3P1 6D1             (3)3( 4.0)   985024.2 
   238     4    3D1 4F1             (3)3( 2.0)   985370.9 
   239     4    3D1 4F1             (3)3( 3.0)   985407.6 
   240     3    3P1 6D1             (3)1( 2.0)   985409.3 
   241     5    3D1 4F1             (3)3( 4.0)   985456.4 
   242     3    3P1 6D1             (3)1( 1.0)   985691.9 
   243     3    3P1 6D1             (1)3( 3.0)   985916.9 
   244     3    3P1 6D1             (3)1( 0.0)   986003.9 
   245     3    3P1 6D1             (1)1( 1.0)   986712.2 
   246     2    3P1 6F1             (1)3( 3.0)   988436.3 
   247     2    3P1 6F1             (3)3( 3.0)   988944.5 
   248     2    3P1 6F1             (3)4( 4.0)   989149.3 
   249     2    3P1 6F1             (3)3( 2.0)   989293.5 
   250     4    3D1 4F1             (1)2( 2.0)   989763.8 
   251     2    3P1 6G1             (1)4( 4.0)   990293.4 
